,Date,precipitationCal,Month_name
361,2020-06-08 12:30:00,0.0,June
362,2020-06-08 13:00:00,0.0,June
363,2020-06-08 13:30:00,0.0,June
364,2020-06-08 14:00:00,0.0,June
365,2020-06-08 14:30:00,0.0,June
366,2020-06-08 15:00:00,0.0,June
367,2020-06-08 15:30:00,0.0,June
368,2020-06-08 16:00:00,0.0,June
369,2020-06-08 16:30:00,0.0,June
370,2020-06-08 17:00:00,0.0,June
371,2020-06-08 17:30:00,0.0,June
372,2020-06-08 18:00:00,0.0,June
373,2020-06-08 18:30:00,0.0,June
374,2020-06-08 19:00:00,0.0,June
375,2020-06-08 19:30:00,0.0,June
376,2020-06-08 20:00:00,0.0,June
377,2020-06-08 20:30:00,0.0,June
378,2020-06-08 21:00:00,0.0,June
379,2020-06-08 21:30:00,0.0,June
380,2020-06-08 22:00:00,0.0,June
381,2020-06-08 22:30:00,0.0,June
382,2020-06-08 23:00:00,0.0,June
383,2020-06-08 23:30:00,0.0,June
384,2020-06-09 00:00:00,0.0,June
385,2020-06-09 00:30:00,0.0,June
386,2020-06-09 01:00:00,0.0,June
387,2020-06-09 01:30:00,0.0,June
388,2020-06-09 02:00:00,0.0,June
389,2020-06-09 02:30:00,0.0,June
390,2020-06-09 03:00:00,0.0,June
391,2020-06-09 03:30:00,0.0,June
392,2020-06-09 04:00:00,0.0,June
393,2020-06-09 04:30:00,0.0,June
394,2020-06-09 05:00:00,0.0,June
395,2020-06-09 05:30:00,0.0,June
396,2020-06-09 06:00:00,0.0,June
397,2020-06-09 06:30:00,0.0,June
398,2020-06-09 07:00:00,0.0,June
399,2020-06-09 07:30:00,0.0,June
400,2020-06-09 08:00:00,0.008,June
401,2020-06-09 08:30:00,0.008,June
402,2020-06-09 09:00:00,0.006999999999999999,June
403,2020-06-09 09:30:00,0.004,June
404,2020-06-09 10:00:00,0.006999999999999999,June
405,2020-06-09 10:30:00,0.006,June
406,2020-06-09 11:00:00,0.075,June
407,2020-06-09 11:30:00,0.09300000000000001,June
408,2020-06-09 12:00:00,0.209,June
409,2020-06-09 12:30:00,0.33299999999999996,June
410,2020-06-09 13:00:00,0.501,June
411,2020-06-09 13:30:00,0.773,June
412,2020-06-09 14:00:00,0.5710000000000001,June
413,2020-06-09 14:30:00,0.312,June
414,2020-06-09 15:00:00,0.18,June
415,2020-06-09 15:30:00,0.111,June
416,2020-06-09 16:00:00,0.0,June
417,2020-06-09 16:30:00,0.0,June
418,2020-06-09 17:00:00,0.0,June
419,2020-06-09 17:30:00,0.0,June
420,2020-06-09 18:00:00,0.0,June
421,2020-06-09 18:30:00,0.0,June
422,2020-06-09 19:00:00,0.0,June
423,2020-06-09 19:30:00,0.0,June
424,2020-06-09 20:00:00,0.0,June
425,2020-06-09 20:30:00,0.005,June
426,2020-06-09 21:00:00,0.0,June
427,2020-06-09 21:30:00,0.0,June
428,2020-06-09 22:00:00,0.0,June
429,2020-06-09 22:30:00,0.0,June
