system:time_start,precipitationCal
"Jun 9, 2018",0.233
"Jun 9, 2018",0.206
"Jun 9, 2018",0.001
"Jun 9, 2018",0.004
"Jun 10, 2018",0.023
"Jun 10, 2018",0.036
"Jun 10, 2018",0.002
"Jun 10, 2018",0.004
"Jun 10, 2018",0.003
"Jun 10, 2018",0.006
"Jun 10, 2018",0.008
"Jun 10, 2018",0.176
"Jun 10, 2018",0.223
"Jun 10, 2018",0.367
"Jun 10, 2018",0.352
"Jun 10, 2018",0.172
"Jun 10, 2018",0.109
"Jun 10, 2018",0.076
"Jun 10, 2018",0.061
"Jun 10, 2018",0.09
"Jun 10, 2018",0.069
"Jun 10, 2018",0.069
"Jun 10, 2018",0.04
"Jun 10, 2018",0.036
"Jun 10, 2018",0.014
"Jun 10, 2018",0.006
"Jun 10, 2018",0.007
"Jun 10, 2018",0.01
"Jun 10, 2018",0.514
"Jun 10, 2018",0.202
"Jun 10, 2018",0
"Jun 10, 2018",0
"Jun 10, 2018",0
"Jun 10, 2018",0
"Jun 10, 2018",0
"Jun 10, 2018",0
"Jun 10, 2018",0
"Jun 10, 2018",0
"Jun 10, 2018",0
"Jun 10, 2018",0
"Jun 10, 2018",0
"Jun 10, 2018",0
"Jun 10, 2018",0
"Jun 10, 2018",0
"Jun 10, 2018",0
"Jun 10, 2018",0
"Jun 10, 2018",0
"Jun 10, 2018",0.009
"Jun 10, 2018",0
"Jun 10, 2018",0
"Jun 10, 2018",0
"Jun 10, 2018",0
"Jun 11, 2018",0
"Jun 11, 2018",0
"Jun 11, 2018",0
"Jun 11, 2018",0
"Jun 11, 2018",0
"Jun 11, 2018",0
"Jun 11, 2018",0
"Jun 11, 2018",0
"Jun 11, 2018",0
"Jun 11, 2018",0
"Jun 11, 2018",0
"Jun 11, 2018",0
"Jun 11, 2018",0
"Jun 11, 2018",0
"Jun 11, 2018",0
"Jun 11, 2018",0
"Jun 11, 2018",0
"Jun 11, 2018",0.013
"Jun 11, 2018",0.01
"Jun 11, 2018",0.005
"Jun 11, 2018",0.004
"Jun 11, 2018",0.001
"Jun 11, 2018",0
"Jun 11, 2018",0
"Jun 11, 2018",0
"Jun 11, 2018",0
"Jun 11, 2018",0
"Jun 11, 2018",0.008
"Jun 11, 2018",0.006
"Jun 11, 2018",0.003
"Jun 11, 2018",0.032
"Jun 11, 2018",0
"Jun 11, 2018",0
"Jun 11, 2018",0
"Jun 11, 2018",0
"Jun 11, 2018",0
"Jun 11, 2018",0
"Jun 11, 2018",0
"Jun 11, 2018",0
"Jun 11, 2018",0
"Jun 11, 2018",0
"Jun 11, 2018",0
"Jun 11, 2018",0
"Jun 11, 2018",0.144
"Jun 11, 2018",0.408
"Jun 11, 2018",0
"Jun 11, 2018",0
"Jun 11, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0.001
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
"Jun 12, 2018",0
